MEDIDA
403,1188309
443,9875245
476,4709324
360,770522
469,0571457
374,3341957
367,8734434
272,2671387
431,1829606
440,0757923
452,223122
310,1221067
320,900128
433,8762244
422,8133352
613,1068298
394,5492163
338,784395
380,9809977
360,6888937
416,6154603
368,1200759
489,3934621
469,1095699
406,9376987
374,2417808
424,7883879
429,8555093
414,1315171
521,8532248
361,6805683
478,6589954
451,271017
400,7917295
369,0714377
466,5240104
407,880976
389,9096302
289,1121545
313,8418168
335,5301817
236,0522172
558,6344991
317,6766908
514,1391866
289,797151
266,9473738
503,223746
377,1481974
446,265434
326,2933617
415,6657343
359,3789412
381,1898057
375,5422162
625,6165058
218,9943874
582,7638258
338,4697642
268,5004734
404,9110729
506,142077
357,2014776
340,8345051
366,2073857
381,7038031
445,0112911
366,1812291
366,6756461
399,0617112
360,5005483
467,0213784
299,1422942
406,2236143
392,9383688
429,2179881
379,9974308
413,2935567
526,0007531
354,3123779
358,7044642
475,4191611
514,5186151
492,9381488
432,9503903
451,4950219
385,2632606
586,4286573
382,5495128
431,1192592
409,7165434
461,7712145
479,8054839
378,5854884
459,6927464
289,4466181
439,2610179
630,7647276
482,2313547
419,3737541
463,7501743
400,2180864
545,8736298
535,6353836
423,9639314
383,4365477
428,9790412
328,473515
354,4182277
518,9970625
366,2637557
491,6383025
333,7224613
403,238791
347,0164109
417,0423339
432,2360099
428,2584662
417,7993626
460,8182284
356,8016081
450,3778796
297,6957557
320,4188004
417,6726368
293,4416221
320,5447241
328,4547911
340,6275208
380,2464375
501,3537264
504,2287331
425,4513443
438,2010718
315,4392945
477,6139335
442,733075
464,1515466
371,3916365
397,9998631
410,1690247
485,8476687
401,9899028
497,4783375
372,1590005
464,432867
410,8746709
470,441543
145,6842257
320,1192351
384,2865694
554,4331451
406,5198647
229,7027588
474,4458947
486,5889663
499,1734965
313,5928711
360,1356501
466,9159411
271,9502546
394,399299
419,9594904
442,5039219
282,2073467
601,1959658
429,5091558
339,9688716
305,106296
350,7592703
366,3010852
391,8995734
472,0340528
419,2211987
434,2809773
277,9858945
348,1210698
275,3802889
421,8138163
491,0904336
398,9026308
368,545624
377,9239365
440,8450701
401,2276859
346,4459221
450,0735649
306,2453052
289,1200168
339,0936735
533,3879683
513,7810721
522,7897751
491,8157492
393,0943883
428,3720744
386,9698289
291,4440848
321,9941541
404,9494272
466,3925467
419,1120954
353,8955436
356,7985039
388,3926795
361,8279451
112,8585498
456,9944389
562,1949387
465,260123
325,0451986
475,6791604
374,2916686
264,4750645
